SNP,Chr,Pos,P.value,MAF,nobs,effect,H&B.P.Value,Phenotype_Variance_Explained(%)
AX-635454557,1,10949413,0.000000207038070911382,445,0.012819516072602,0.267995222507299,0.000273553756602366,0.169358583371572
AX-635453671,1,23430708,0.00000000530956625973743,445,0.0130520060660767,0.329213483146067,0.00000964615450237798,86.2001754442236
AX-115207435,2,10631856,0.0000000000238468263969043,445,0.0175143425984114,0.208988764044944,0.0000000948436352100902,0.154618037141312
AX-635451359,2,31064598,0.0000000000274678395308201,445,-0.0159549006112922,0.389896557874086,0.0000000948436352100902,0.111672705216052
AX-115371242,3,34558397,0.00000000000015713317019331,445,0.0110411601000419,0.375280898876404,0.000000000913509398235827,0.00000000215505596143891
AX-115320981,4,23987542,0.0000000000293653748758364,445,-0.018221204158408,0.471896841546492,0.0000000948436352100902,0
AX-115353901,5,24740039,0.00000117404463020502,445,0.0126030110540209,0.370786516853933,0.00148378823090432,0
AX-115466992,5,33345776,0.0000000000931812178229287,445,-0.0180293687593997,0.259550561797753,0.000000270859163967689,0.106858180134679
AX-115651891,7,25909227,0.00000000387151687072323,445,-0.0139075571270413,0.260674157303371,0.00000803837517129877,2.3211532768285
AX-115483353,7,32445882,0.0000000439704465868083,445,-0.00765225173073577,0.332584269662921,0.000067270154809755,0
AX-115519098,8,6699401,0.00000000328708210947065,445,0.0138605748212473,0.40247191011236,0.00000734991559677638,0.000000271080005062535
AX-115276891,8,12785155,0.0000000000000000000000000801273109856393,445,0.282787380787768,0.289474033442449,0.00000000000000000000232914067573056,0.124413438129292
AX-115413644,9,9342424,0.000000193058084616209,445,0.0106558333645746,0.332584269662921,0.000267229162077332,0.000000000612913013423199
AX-115306042,9,29447828,0.000000000130026063608464,445,0.00801525215020932,0.492134831460674,0.000000314966468080902,0.243677240617548
AX-115462070,10,5374322,0.0000000000000885025575517058,445,0.016384586585449,0.340449438202247,0.000000000643148085728246,1.62244150701486
AX-115641815,10,40198119,0.000000000000826021429387764,445,0.017709155051235,0.252808988764045,0.00000000400179848490726,0.29914683992919
AX-115361682,11,3627207,0.0000000493923864698086,445,0.00782349229702733,0.385393258426966,0.0000717868944952199,0.237400945780232
AX-115304152,11,38650110,0.00000000894400524937735,445,0.0130936079663651,0.346832699283376,0.0000152931967405236,0.690393134254619
AX-105189481,11,40158405,0.00000000011856259684729,445,-0.0145425751087491,0.152808988764045,0.000000313307051377911,0.179921884569661
AX-635445376,13,32143239,0.000000000000000000010663297504407,445,-0.0477803392624879,0.0855878970184907,0.000000000000000154980365929051,0.00939650221540999
AX-115398446,14,16824545,0.0000000000000000505659652054596,445,-0.0163447565263632,0.473033707865169,0.000000000000489950492197433,0.265060216824858
AX-115503933,15,17124827,0.00000000467321993734743,445,0.0179074969240607,0.326966292134831,0.00000905607714258767,0.481596025047481
AX-115521876,15,53146156,0.00000138802675838348,445,-0.00974551861919382,0.371910112359551,0.00168113174219546,0.625242409835327
AX-115191530,17,8370131,0.0000000112414777558647,445,-0.0155460609574377,0.444943820224719,0.0000181537375226375,0.0635608097035522
